Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Ana,All,4.23,9.57,49.3,9.28,3.86,62,2636,8181.0,5.95,57.0,Support
Ana,Bronze,3.93,3.74,44.7,8.66,3.86,60,2586,7135.0,6.38,52.0,Support
Ana,Silver,4.14,4.52,47.07,8.99,4.02,63,2589,7495.0,6.29,53.0,Support
Ana,Gold,4.21,6.51,48.72,9.15,4.02,63,2578,7839.0,6.12,54.0,Support
Ana,Platinum,4.31,9.68,48.97,9.41,4.0,63,2626,8186.0,5.97,56.0,Support
Ana,Diamond,4.25,14.76,49.34,9.48,3.87,62,2681,8396.0,5.89,58.0,Support
Ana,Master,4.19,17.02,49.61,9.25,3.58,60,2671,8473.0,5.82,59.0,Support
Ana,Grandmaster,4.01,19.04,50.22,8.96,3.24,57,2712,8641.0,5.8,59.0,Support
Mercy,All,4.42,6.56,50.9,1.8,0.65,51,341,9096.0,5.79,,Support
Mercy,Bronze,3.86,4.23,45.78,2.08,0.9,59,414,8912.0,6.5,,Support
Mercy,Silver,4.08,4.35,48.76,1.92,0.79,58,373,9065.0,6.27,,Support
Mercy,Gold,4.33,4.9,50.0,1.87,0.73,55,354,9229.0,5.99,,Support
Mercy,Platinum,4.49,6.49,50.78,1.84,0.66,52,343,9246.0,5.77,,Support
Mercy,Diamond,4.47,8.92,51.29,1.79,0.62,48,331,9112.0,5.69,,Support
Mercy,Master,4.48,10.11,51.85,1.72,0.58,45,318,8849.0,5.63,,Support
Mercy,Grandmaster,4.25,12.54,50.51,1.5,0.49,42,286,8508.0,5.68,,Support
Genji,All,2.5,3.45,49.28,18.3,5.06,64,7292,,8.09,,Damage
Genji,Bronze,2.37,1.15,44.89,16.33,5.34,70,6572,,8.15,,Damage
Genji,Silver,2.53,1.4,47.39,16.91,5.26,69,6777,,8.16,,Damage
Genji,Gold,2.5,2.21,48.29,17.63,5.31,68,7044,,8.17,,Damage
Genji,Platinum,2.51,3.53,49.1,18.32,5.21,66,7291,,8.14,,Damage
Genji,Diamond,2.52,5.4,48.84,18.8,5.04,63,7469,,8.12,,Damage
Genji,Master,2.48,6.67,50.16,18.79,4.72,59,7478,,8.04,,Damage
